timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616526010526,3745,AUTHENTICATE,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 3,745 milliseconds, but should not have lasted longer than 3,000 milliseconds.",959,970,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/event,3745,0,209
1616526014275,17005,1,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 17,005 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1178,941,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,17005,0,1134
1616526031282,1246,2,200,OK,Kcb_questions 1-1,text,true,,1772,926,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,1246,0,128
1616526032530,967,3,200,OK,Kcb_questions 1-1,text,true,,1168,967,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,967,0,0
1616526033498,468,4,200,OK,Kcb_questions 1-1,text,true,,1136,926,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,468,0,121
1616526033968,950,5,200,OK,Kcb_questions 1-1,text,true,,1162,963,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,950,0,0
1616526034920,398,6,200,OK,Kcb_questions 1-1,text,true,,1136,926,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,398,0,0
1616526035320,841,7,200,OK,Kcb_questions 1-1,text,true,,1435,946,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,841,0,0
1616526036163,820,8,200,OK,Kcb_questions 1-1,text,true,,1435,947,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,819,0,119
1616526036984,914,9,200,OK,Kcb_questions 1-1,text,true,,1014,956,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,914,0,0
1616526037900,867,10,200,OK,Kcb_questions 1-1,text,true,,1090,950,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,867,0,0
1616526038767,527,11,200,OK,Kcb_questions 1-1,text,true,,1267,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,527,0,120
1616526039296,924,12,200,OK,Kcb_questions 1-1,text,true,,1354,947,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,924,0,0
1616526040221,1280,13,200,OK,Kcb_questions 1-1,text,true,,1090,942,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,1280,0,0
1616526041503,857,14,200,OK,Kcb_questions 1-1,text,true,,1090,930,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,857,0,155
1616526042362,413,15,200,OK,Kcb_questions 1-1,text,true,,1273,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,413,0,0
1616526042776,496,16,200,OK,Kcb_questions 1-1,text,true,,1281,960,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,496,0,0
1616526043274,711,17,200,OK,Kcb_questions 1-1,text,true,,1072,948,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,711,0,0
1616526043987,1007,18,200,OK,Kcb_questions 1-1,text,true,,1062,938,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,1007,0,127
1616526044995,550,19,200,OK,Kcb_questions 1-1,text,true,,1384,932,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,550,0,0
1616526045547,526,20,200,OK,Kcb_questions 1-1,text,true,,1300,936,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,526,0,0
1616526046075,643,21,200,OK,Kcb_questions 1-1,text,true,,1343,934,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,643,0,116
1616526046720,711,22,200,OK,Kcb_questions 1-1,text,true,,1040,929,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,711,0,0
1616526047433,567,23,200,OK,Kcb_questions 1-1,text,true,,1460,981,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,567,0,0
1616526048001,3557,AUTHENTICATE,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 3,557 milliseconds, but should not have lasted longer than 3,000 milliseconds.",958,970,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/event,3557,0,120
1616526051561,14640,1,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 14,640 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1023,940,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,14640,0,111
1616526066204,7037,2,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 7,037 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1273,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,7037,0,122
1616526073242,6468,3,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 6,468 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1023,966,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,6468,0,173
1616526079712,5766,4,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 5,766 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1278,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,5766,0,112
1616526085480,8827,5,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 8,827 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1023,962,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,8827,0,114
1616526094308,6131,6,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 6,131 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1274,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,6131,0,120
1616526100441,5676,7,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 5,676 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1037,945,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,5676,0,117
1616526106119,4630,8,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,630 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1037,946,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4630,0,148
1616526110749,4123,9,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,123 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1027,955,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4123,0,121
1616526114874,4229,10,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,229 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1024,949,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4229,0,121
1616526119106,5635,11,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 5,635 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1273,924,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,5634,0,118
1616526124742,4688,12,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,688 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1029,946,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4688,0,121
1616526129430,4317,13,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,317 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1024,941,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4317,0,114
1616526133748,4098,14,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,098 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1024,929,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4098,0,124
1616526137849,4173,15,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,173 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1266,924,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4173,0,159
1616526142023,2143,16,200,OK,Kcb_questions 1-1,text,true,,1270,959,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,2143,0,119
1616526144169,2312,17,200,OK,Kcb_questions 1-1,text,true,,1074,947,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,2312,0,124
1616526146483,4451,18,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,451 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1062,937,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4451,0,117
1616526150935,5646,19,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 5,646 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1383,931,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,5646,0,124
1616526156582,4109,20,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,109 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1299,935,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4109,0,127
1616526160694,4212,21,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,212 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1342,933,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4212,0,121
1616526164907,4491,22,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,491 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1039,928,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4491,0,116
1616526169400,4679,23,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,679 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1038,980,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4679,0,160
1616526174081,2580,AUTHENTICATE,200,OK,Kcb_questions 1-1,text,true,,959,971,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/event,2580,0,116
1616526176663,9306,1,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 9,306 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1178,941,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,9306,0,115
1616526185971,1515,2,200,OK,Kcb_questions 1-1,text,true,,1772,926,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,1515,0,120
1616526187488,405,3,200,OK,Kcb_questions 1-1,text,true,,1168,967,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,405,0,0
1616526187895,459,4,200,OK,Kcb_questions 1-1,text,true,,1136,926,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,459,0,0
1616526188356,591,5,200,OK,Kcb_questions 1-1,text,true,,1162,963,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,591,0,128
1616526188948,340,6,200,OK,Kcb_questions 1-1,text,true,,1136,926,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,340,0,0
1616526189290,148,7,200,OK,Kcb_questions 1-1,text,true,,1435,946,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,148,0,0
1616526189440,151,8,200,OK,Kcb_questions 1-1,text,true,,1435,947,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,151,0,0
1616526189593,210,9,200,OK,Kcb_questions 1-1,text,true,,1014,956,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,210,0,0
1616526189805,147,10,200,OK,Kcb_questions 1-1,text,true,,1090,950,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,147,0,0
1616526189953,101,11,200,OK,Kcb_questions 1-1,text,true,,1264,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,101,0,0
1616526190056,134,12,200,OK,Kcb_questions 1-1,text,true,,1354,947,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,134,0,0
1616526190191,981,13,200,OK,Kcb_questions 1-1,text,true,,1090,942,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,981,0,0
1616526191173,327,14,200,OK,Kcb_questions 1-1,text,true,,1090,930,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,327,0,118
1616526191502,102,15,200,OK,Kcb_questions 1-1,text,true,,1271,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,102,0,0
1616526191606,108,16,200,OK,Kcb_questions 1-1,text,true,,1271,960,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,108,0,0
1616526191716,226,17,200,OK,Kcb_questions 1-1,text,true,,1071,948,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,225,0,0
1616526191944,133,18,200,OK,Kcb_questions 1-1,text,true,,1060,938,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,133,0,0
1616526192079,118,19,200,OK,Kcb_questions 1-1,text,true,,1384,932,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,118,0,0
1616526192199,118,20,200,OK,Kcb_questions 1-1,text,true,,1300,936,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,118,0,0
1616526192319,167,21,200,OK,Kcb_questions 1-1,text,true,,1343,934,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,167,0,0
1616526192488,260,22,200,OK,Kcb_questions 1-1,text,true,,1040,929,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,260,0,0
1616526192750,192,23,200,OK,Kcb_questions 1-1,text,true,,1460,981,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,192,0,0
1616526192943,3726,AUTHENTICATE,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 3,726 milliseconds, but should not have lasted longer than 3,000 milliseconds.",958,970,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/event,3726,0,119
1616526196670,10450,1,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 10,450 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1023,940,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,10450,0,112
1616526207123,5321,2,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 5,321 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1270,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,5321,0,160
1616526212446,7961,3,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 7,961 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1023,966,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,7961,0,115
1616526220408,5975,4,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 5,975 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1274,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,5975,0,118
1616526226385,5288,5,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 5,288 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1023,962,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,5288,0,112
1616526231675,5259,6,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 5,259 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1271,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,5259,0,119
1616526236936,6149,7,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 6,149 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1037,945,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,6149,0,116
1616526243087,5941,8,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 5,941 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1037,946,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,5941,0,158
1616526249030,8577,9,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 8,577 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1027,955,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,8577,0,113
1616526257609,5246,10,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 5,246 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1024,949,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,5246,0,120
1616526262858,4641,11,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,641 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1275,924,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4641,0,120
1616526267500,4224,12,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,224 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1029,946,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4224,0,114
1616526271725,4190,13,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,190 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1024,941,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4190,0,113
1616526275916,4480,14,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,480 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1024,929,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4480,0,156
1616526280398,4086,15,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,086 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1273,924,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4086,0,116
1616526284486,3101,16,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 3,101 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1280,959,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,3101,0,113
1616526287589,3269,17,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 3,269 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1071,947,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,3269,0,1130
1616526290861,4176,18,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,176 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1059,937,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4176,0,119
1616526295039,4172,19,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,172 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1383,931,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4172,0,120
1616526299212,4346,20,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,346 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1299,935,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4346,0,121
1616526303560,5393,21,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 5,393 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1342,933,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,5393,0,1130
1616526308955,4945,22,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,945 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1039,928,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4945,0,156
1616526313902,8127,23,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 8,127 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1038,980,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,8126,0,113
1616526322028,3432,AUTHENTICATE,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 3,432 milliseconds, but should not have lasted longer than 3,000 milliseconds.",958,971,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/event,3432,0,127
1616526325462,9247,1,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 9,247 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1024,940,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,9247,0,120
1616526334712,4477,2,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,477 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1271,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4477,0,114
1616526339189,7162,3,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 7,162 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1167,966,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,7162,0,158
1616526346354,439,4,200,OK,Kcb_questions 1-1,text,true,,1135,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,439,0,119
1616526346795,438,5,200,OK,Kcb_questions 1-1,text,true,,1161,962,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,438,0,0
1616526347234,434,6,200,OK,Kcb_questions 1-1,text,true,,1135,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,434,0,0
1616526347670,184,7,200,OK,Kcb_questions 1-1,text,true,,1434,945,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,184,0,0
1616526347856,194,8,200,OK,Kcb_questions 1-1,text,true,,1434,946,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,194,0,0
1616526348052,204,9,200,OK,Kcb_questions 1-1,text,true,,1013,955,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,204,0,0
1616526348258,157,10,200,OK,Kcb_questions 1-1,text,true,,1089,949,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,157,0,0
1616526348416,2753,11,200,OK,Kcb_questions 1-1,text,true,,1275,924,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,2753,0,118
1616526351170,254,12,200,OK,Kcb_questions 1-1,text,true,,1353,946,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,254,0,114
1616526351426,824,13,200,OK,Kcb_questions 1-1,text,true,,1089,941,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,824,0,0
1616526352252,643,14,200,OK,Kcb_questions 1-1,text,true,,1089,929,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,643,0,0
1616526352897,78,15,200,OK,Kcb_questions 1-1,text,true,,1280,924,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,78,0,0
1616526352977,93,16,200,OK,Kcb_questions 1-1,text,true,,1272,959,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,93,0,0
1616526353071,215,17,200,OK,Kcb_questions 1-1,text,true,,1074,947,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,215,0,0
1616526353288,252,18,200,OK,Kcb_questions 1-1,text,true,,1063,937,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,252,0,118
1616526353541,127,19,200,OK,Kcb_questions 1-1,text,true,,1383,931,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,127,0,0
1616526353670,135,20,200,OK,Kcb_questions 1-1,text,true,,1299,935,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,135,0,0
1616526353806,125,21,200,OK,Kcb_questions 1-1,text,true,,1342,933,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,125,0,0
1616526353933,236,22,200,OK,Kcb_questions 1-1,text,true,,1039,928,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,236,0,0
1616526354170,164,23,200,OK,Kcb_questions 1-1,text,true,,1459,980,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,164,0,0
1616526354335,2430,AUTHENTICATE,200,OK,Kcb_questions 1-1,text,true,,958,971,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/event,2430,0,118
1616526356768,8064,1,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 8,064 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1024,940,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,8064,0,119
1616526364834,4088,2,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,088 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1261,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4087,0,119
1616526368923,4275,3,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,275 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1024,966,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4275,0,125
1616526373199,4570,4,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,570 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1264,925,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4570,0,162
1616526377771,4244,5,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,244 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1024,962,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4244,0,118
